               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.030338,            0.040249,            0.001832,             0.97734,             0.95976,             0.98282,             0.70828,            0.023355,            0.024959,           0.0010751,            0.006436,            0.006436,            0.006436
                 110,            0.030026,            0.040491,           0.0017979,              0.9762,              0.9572,             0.98232,             0.70932,            0.023341,            0.024949,            0.001068,            0.006403,            0.006403,            0.006403
                 111,            0.030444,            0.040703,           0.0018062,             0.97697,             0.95547,             0.98333,             0.70875,            0.023343,            0.024876,           0.0010802,             0.00637,             0.00637,             0.00637
                 112,            0.030379,            0.041235,           0.0018135,             0.97816,             0.95428,             0.98311,             0.70918,            0.023265,            0.024889,           0.0010748,            0.006337,            0.006337,            0.006337
                 113,            0.030272,            0.040564,           0.0018093,             0.97759,             0.95562,             0.98337,             0.71237,            0.023187,            0.024775,           0.0010666,            0.006304,            0.006304,            0.006304
                 114,            0.030646,            0.041711,            0.001837,             0.97928,             0.95441,             0.98252,             0.71386,            0.023121,            0.024739,            0.001058,            0.006271,            0.006271,            0.006271
                 115,            0.030939,             0.04155,           0.0018812,              0.9774,             0.95776,             0.98305,             0.71676,            0.023023,            0.024629,            0.001058,            0.006238,            0.006238,            0.006238
                 116,            0.030683,            0.041706,           0.0018611,             0.98065,              0.9587,             0.98461,             0.71827,            0.022933,            0.024553,           0.0010509,            0.006205,            0.006205,            0.006205
                 117,            0.030604,            0.041677,           0.0018723,             0.97908,             0.96097,             0.98488,             0.72112,            0.022816,             0.02444,           0.0010461,            0.006172,            0.006172,            0.006172
                 118,            0.030783,            0.041801,           0.0018984,             0.97787,             0.96051,             0.98438,             0.72193,            0.022784,            0.024413,           0.0010426,            0.006139,            0.006139,            0.006139
                 119,            0.030551,            0.041844,           0.0018014,               0.978,             0.96022,             0.98443,              0.7228,            0.022684,            0.024314,            0.001037,            0.006106,            0.006106,            0.006106
                 120,            0.030618,            0.041764,             0.00188,             0.97758,             0.96194,             0.98494,             0.72412,            0.022613,            0.024288,           0.0010363,            0.006073,            0.006073,            0.006073
                 121,            0.030536,            0.041317,            0.001882,             0.98022,             0.96041,             0.98537,             0.72588,            0.022477,            0.024219,           0.0010352,             0.00604,             0.00604,             0.00604
                 122,             0.03153,            0.043796,            0.001957,             0.98086,             0.95842,             0.98485,             0.72676,             0.02241,            0.024241,           0.0010354,            0.006007,            0.006007,            0.006007
                 123,            0.032162,            0.044736,           0.0020725,             0.98096,             0.95892,              0.9853,             0.72811,            0.022345,            0.024216,           0.0010297,            0.005974,            0.005974,            0.005974
                 124,            0.031977,            0.044474,           0.0020413,             0.97847,             0.95942,             0.98498,             0.72883,            0.022275,            0.024185,           0.0010266,            0.005941,            0.005941,            0.005941
                 125,            0.032148,            0.045246,           0.0020473,             0.97807,             0.96082,              0.9843,             0.73038,            0.022198,            0.024144,           0.0010267,            0.005908,            0.005908,            0.005908
                 126,            0.031778,            0.044323,           0.0020119,             0.97897,             0.95894,             0.98514,             0.73271,            0.022139,             0.02404,            0.001026,            0.005875,            0.005875,            0.005875
                 127,            0.031647,             0.04418,           0.0019757,             0.97859,             0.96098,             0.98547,              0.7348,             0.02205,            0.023957,           0.0010205,            0.005842,            0.005842,            0.005842
                 128,            0.031737,            0.043904,           0.0020388,             0.97979,             0.96129,             0.98544,             0.73689,            0.021963,            0.023884,           0.0010168,            0.005809,            0.005809,            0.005809
                 129,            0.031768,            0.043997,           0.0020124,             0.98081,              0.9597,             0.98526,             0.73771,            0.021881,            0.023849,           0.0010118,            0.005776,            0.005776,            0.005776
                 130,            0.031467,            0.043682,           0.0020107,             0.98272,             0.96204,              0.9861,             0.73804,            0.021791,            0.023789,           0.0010086,            0.005743,            0.005743,            0.005743
